date,qqq_close,dist_days,upvol,fwd10,fwd20,fb_old,fb_new
2024-11-07,513.5399780273438,3.0,0.6038092650562581,-1.6668550467866083,2.519765353247183,11,16
2024-11-08,514.1400146484375,3.0,0.6061524648656117,-1.6240724054954692,1.6026743687727496,11,16
2024-11-11,513.8400268554688,3.0,0.6153938760722898,-1.4109509066364323,1.3155745712994271,11,16
2024-11-12,512.9099731445312,3.0,0.5872338965193119,-0.7018727992101348,3.3163733708160503,11,16
2024-11-13,512.25,3.0,0.6389898876747118,-1.3567617778489471,2.7818448023426035,11,20
2024-11-14,508.69000244140625,3.0,0.5818396320058408,0.2064101491929149,4.29338629630025,11,16
2024-11-15,496.57000732421875,3.0,0.527515292466945,3.7698552927105,8.377464400256507,11,12
2024-11-18,500.0199890136719,4.0,0.5329360617817746,3.369866500088037,7.15571368454202,8,12
2024-11-19,503.4599914550781,4.0,0.534138419038282,3.932788830612277,2.5841138260948915,8,12
2024-11-20,503.1700134277344,3.0,0.5726680316835985,3.704510132445815,2.186133749800989,11,16
2024-11-21,504.9800109863281,3.0,0.6525541985856318,4.257588224220621,2.7090106262787295,11,20
2024-11-22,505.7900085449219,3.0,0.6473117214250818,3.2800166190742663,3.3768928376821883,11,20
2024-11-25,506.5899963378906,3.0,0.7029468377094107,2.7655459739284627,4.613203143312372,11,20
2024-11-26,509.30999755859375,3.0,0.705083759414062,4.046648495092886,3.983816953251429,11,20
2024-11-27,505.29998779296875,3.0,0.6379467968952445,4.195529926614072,3.4157946136141204,11,20
2024-11-29,509.739990234375,2.0,0.6262844428759595,4.078557590300269,1.1515665299260736,14,20
2024-12-02,515.2899780273438,2.0,0.6218894925760307,4.440219266519163,-0.7878994768262704,14,20
2024-12-03,516.8699951171875,2.0,0.6391426237332696,3.6624282420358645,-1.2846526580352013,14,20
2024-12-04,523.260009765625,2.0,0.7050515253324828,-1.297641504372049,-0.8943914284367915,14,20
2024-12-05,521.8099975585938,2.0,0.6758794028988873,-1.4641372691560184,0.523175194327985,14,20
2024-12-06,526.47998046875,2.0,0.7389400843181322,-1.4853380212588974,-2.1463281059439066,14,20
2024-12-09,522.3800048828125,1.0,0.7958662684066816,0.09379957689708007,-1.3610753254534536,17,20
2024-12-10,520.5999755859375,1.0,0.729279649334755,1.7979344651685825,-2.5758689537851542,17,20
2024-12-11,529.9199829101562,1.0,0.7254258373018402,-0.06038785751414366,-4.596917673831625,17,20
2024-12-12,526.5,1.0,0.6893615276300696,-0.7483385453763036,-4.068378618752966,17,20
2024-12-13,530.530029296875,1.0,0.6426177000876729,-2.8122901855501814,-2.606830212452449,17,20
2024-12-16,538.1699829101562,1.0,0.6480754277350423,-5.005848111065225,-4.662089417294957,17,20
2024-12-17,535.7999877929688,1.0,0.5611532226571969,-4.772298878162862,-2.6241130793057232,17,12
2024-12-18,516.469970703125,2.0,0.43782859898370274,0.4085516112090959,1.6128753968992937,14,3
2024-12-19,514.1699829101562,3.0,0.40784089785147903,2.0168417958773555,3.3724307975595336,11,0
2024-12-20,518.6599731445312,3.0,0.4765758865133577,-0.6709560500016143,2.6954155376880173,11,7
2024-12-23,522.8699951171875,3.0,0.4893851277616944,-1.4535115146995903,1.2928662628862275,11,7
2024-12-24,529.9600219726562,2.0,0.4915182017797759,-4.296554190350765,-2.971922286019646,14,7
2024-12-26,529.5999755859375,2.0,0.472603341486258,-4.539270984811972,-1.4709173690435118,14,7
2024-12-27,522.5599975585938,2.0,0.45361816719547615,-3.345072540568539,-0.33105872566451255,14,3
2024-12-30,515.6099853515625,3.0,0.3998301081066545,0.21140530370558075,1.4429515821601901,11,0
2024-12-31,511.2300109863281,4.0,0.3907777699330201,0.36187353319621085,2.1634033220540694,8,0
2025-01-02,510.2300109863281,5.0,0.3837127849682501,2.2558412873042943,1.5443964869885862,5,0
2025-01-03,518.5800170898438,6.0,0.3864192500764891,1.199423521567633,1.135784916344118,2,0
2025-01-06,524.5399780273438,6.0,0.43769367275435156,1.3287894212551166,0.44038541490794003,2,3
2025-01-07,515.1799926757812,6.0,0.408075245170598,3.3891110332082253,2.799018423689281,2,0
2025-01-08,515.27001953125,7.0,0.4090560506004871,2.786885478923473,1.4846513650969895,0,0
2025-01-10,507.19000244140625,7.0,0.4009738815080921,1.3841005338154355,4.34945433711349,0,0
2025-01-13,505.55999755859375,8.0,0.4591157789987236,3.2142574725993134,4.436662865752483,0,3
2025-01-14,505.0799865722656,8.0,0.5121105188188527,3.1183240152645952,4.5972918820811115,0,7
2025-01-15,516.7000122070312,8.0,0.4753937488922505,1.2289482167446186,3.715891572175578,0,7
2025-01-16,513.0800170898438,8.0,0.41094624489754394,1.7950340357705485,4.886178858887202,0,0
2025-01-17,521.739990234375,8.0,0.437814719760702,-0.6957497893120723,3.3790787006556133,0,3
2025-01-21,524.7999877929688,8.0,0.4549837105662948,-0.06288435547256999,2.80488416171385,0,3
2025-01-22,531.510009765625,8.0,0.5245781207806831,-0.8767537946731019,1.0761736558164259,0,12
2025-01-23,532.6400146484375,8.0,0.586795103160205,-0.5707492826100502,-1.23160058917533,0,16
2025-01-24,529.6300048828125,8.0,0.6019377909964467,-1.266926327963791,-1.842797740997426,0,16
2025-01-27,514.2100219726562,8.0,0.5808681328353892,2.9248706529767965,-0.17308387826109328,0,16
2025-01-28,521.8099975585938,8.0,0.5843566206054579,1.1843377291917978,-1.3893946137331192,0,16
2025-01-29,520.8300170898438,7.0,0.5272582295925864,1.4342435070973325,-3.9475505254193632,0,12
2025-01-30,523.0499877929688,7.0,0.594363462034527,2.4567511559105526,-2.8448474739519725,0,16
2025-01-31,522.2899780273438,7.0,0.5195448857222312,3.036636170316953,-4.832562617744429,0,7
2025-02-03,518.1099853515625,8.0,0.5225305253811388,4.103377731892022,-4.354287351417419,0,12
2025-02-04,524.469970703125,9.0,0.5404561171472738,2.869573029690975,-4.282411232694461,0,12
2025-02-05,526.8499755859375,9.0,0.5569077433335013,1.970201264841731,-7.336047294283654,0,12
2025-02-06,529.5999755859375,8.0,0.5429760417810475,-0.664644761775024,-7.139344558916106,0,12
2025-02-07,522.9199829101562,7.0,0.5388869680444612,-0.5832608989227994,-9.59802141132774,0,12
2025-02-10,529.25,7.0,0.5127489093229062,-3.0099183137990093,-10.892771638447684,0,7
2025-02-11,527.989990234375,6.0,0.48762828890758814,-2.5436074403266007,-9.672527462873049,2,7
2025-02-12,528.2999877929688,6.0,0.44047206962619806,-5.305697411880561,-11.349610607709382,2,3
2025-02-13,535.9000244140625,6.0,0.44324153983753806,-5.174474663748585,-10.494498635905892,2,3
2025-02-14,538.1500244140625,5.0,0.46379022729980035,-7.637282310977023,-10.290817223447757,5,3
2025-02-18,539.3699951171875,5.0,0.5504194497053856,-8.12429458829984,-12.019576016307731,5,12
2025-02-19,539.52001953125,4.0,0.5379024489824592,-6.952477833577841,-10.867067534167107,8,12
2025-02-20,537.22998046875,4.0,0.5383037460418287,-9.126439335894576,-10.790531580635987,8,12
2025-02-21,526.0800170898438,4.0,0.4432556428287288,-6.5180214855159235,-8.59945622002728,8,3
2025-02-24,519.8699951171875,5.0,0.44998538397328136,-9.067648560912467,-5.618710779508196,5,3
2025-02-25,513.3200073242188,6.0,0.4496428559401089,-8.12748395258872,-3.868934696830706,2,3
2025-02-26,514.5599975585938,7.0,0.45942773541173415,-7.314984512874667,-5.865203828314424,0,3
2025-02-27,500.2699890136719,7.0,0.3812769406543628,-6.382552097265348,-3.727985748906215,0,0
2025-02-28,508.1700134277344,8.0,0.4237084903263473,-5.610329026169381,-7.719859485944847,0,3
2025-03-03,497.04998779296875,8.0,0.41038313451561537,-2.8729502323707523,-5.659385384986882,0,0
2025-03-04,495.54998779296875,9.0,0.3360978455504152,-4.239729546078497,-4.611033427264211,0,0
2025-03-05,502.010009765625,9.0,0.38154335637119513,-4.207086453723874,-5.151294867848144,0,0
2025-03-06,488.20001220703125,9.0,0.34742348715723465,-1.8312171687564494,-7.689473086084697,0,0
2025-03-07,491.7900085449219,10.0,0.37522135412647306,-2.2265625605996875,-14.054778241976795,0,0
2025-03-10,472.7300109863281,10.0,0.33542779131251643,3.792861095992439,-10.373787871559559,0,0
2025-03-11,471.6000061035156,10.0,0.28861727520428987,4.635280972995637,-11.77693126083864,0,0
2025-03-12,476.9200134277344,10.0,0.3137924788553148,1.564201804294485,-2.289694942606768,0,0
2025-03-13,468.3399963378906,10.0,0.3043847579266411,2.8355465864836837,-4.731606062985428,0,0
2025-03-14,479.6600036621094,11.0,0.36302298412145545,-2.2349166365463136,-5.266232242165247,0,0
2025-03-17,482.7699890136719,11.0,0.4105818421060516,-2.8688559564843397,-5.2385149455981495,0,0
2025-03-18,474.5400085449219,10.0,0.4110339852301731,-0.38774314172846935,-3.4875917757269947,0,0
2025-03-19,480.8900146484375,11.0,0.4199486162050493,-0.9856766843907905,-7.633766735517211,0,0
2025-03-20,479.260009765625,11.0,0.4258869993928722,-5.967534432405919,-7.3363107594359604,0,3
2025-03-21,480.8399963378906,12.0,0.3784671949820153,-12.097575774308023,-9.926381197455092,0,0
2025-03-24,490.6600036621094,13.0,0.4336334325569536,-13.648962768691797,-9.411811097523836,0,3
2025-03-25,493.4599914550781,13.0,0.49832487908525447,-15.68516095261402,-7.883109992722803,0,7
2025-03-26,484.3800048828125,13.0,0.4390737805389537,-3.794542445503968,-3.515834387799921,0,3
2025-03-27,481.6199951171875,13.0,0.45547649818560415,-7.358498982747386,-1.8811506271431466,0,3
2025-03-28,468.94000244140625,13.0,0.3777130469078578,-3.100611692161759,0.7399669899427419,0,0
2025-03-31,468.9200134277344,13.0,0.443207564366362,-2.4396490049084396,1.4096189461491493,0,3
2025-04-01,472.70001220703125,12.0,0.5222595981737358,-3.111914870485266,0.5859930065875929,0,12
2025-04-02,476.1499938964844,11.0,0.5251168059152068,-6.714271055446752,1.1613984774090147,0,12
2025-04-03,450.6600036621094,11.0,0.5008332522938841,-1.4556422813843062,8.469795988102579,0,7
2025-04-04,422.6700134277344,11.0,0.38261321397536635,2.470005345106663,14.966753552026635,0,0
2025-04-07,423.69000244140625,12.0,0.3578020674376273,4.906891459587137,13.623168091790273,0,0
2025-04-08,416.05999755859375,11.0,0.33322054969382764,9.253473111069276,16.16112835382728,0,0
2025-04-09,466.0,11.0,0.40350444833841087,0.289700880582755,4.783263636249324,0,0
2025-04-10,446.17999267578125,11.0,0.3789183544244252,5.9124132224327886,9.366177155166344,0,0
2025-04-11,454.3999938964844,11.0,0.41385603588690884,3.963470512221834,11.762766928911429,0,0
2025-04-14,457.4800109863281,11.0,0.4176911565908534,3.9455249102694046,12.702197795233783,0,0
2025-04-15,457.989990234375,10.0,0.40356408696710055,3.8166797002228803,13.251381850146625,0,0
2025-04-16,444.17999267578125,9.0,0.39721434582988363,8.442523440575634,16.900807907170723,0,0
2025-04-17,444.1000061035156,10.0,0.4175293288776748,10.072051306913021,17.43075942315251,0,0
2025-04-21,433.1099853515625,9.0,0.4181637619789304,12.195518254178307,20.525969712266257,0,0
2025-04-22,444.4800109863281,9.0,0.43218255521936766,8.308583459992125,17.05138739011891,0,3
2025-04-23,454.55999755859375,9.0,0.44177088989784036,6.322595562463751,12.865184086334347,0,3
2025-04-24,467.3500061035156,8.0,0.4388129162231396,4.480582468799232,9.98181090986263,0,3
2025-04-25,472.55999755859375,8.0,0.4880976692769976,3.260962362815878,7.7619758052485555,0,7
2025-04-28,472.4100036621094,7.0,0.5532776286366219,7.501958503561812,10.332119697432752,0,12
2025-04-29,475.5299987792969,6.0,0.5990132527918962,8.424290408387991,9.122447474731853,2,16
2025-04-30,475.4700012207031,6.0,0.6772040420136306,9.087848096439831,9.350745860082288,2,20
2025-05-01,481.67999267578125,6.0,0.6295961020282095,7.7997857281788985,7.770717747244138,2,20
2025-05-02,488.8299865722656,6.0,0.7505076843445085,6.685355663738135,7.033127333588429,2,20
2025-05-05,485.92999267578125,6.0,0.6967391495450899,7.424941377083671,8.513571037132927,2,20
2025-05-06,481.4100036621094,5.0,0.6402730207918936,8.072124711478912,9.837771444064458,5,20
2025-05-07,483.29998779296875,5.0,0.6760607230359547,6.153525964315709,8.584728177594748,5,20
2025-05-08,488.2900085449219,5.0,0.7544560360778717,5.265311803469519,8.525665820869332,5,20
2025-05-09,487.9700012207031,5.0,0.7312961632427931,4.35887225863536,8.75668809136525,5,20
2025-05-12,507.8500061035156,4.0,0.8075332852240639,2.632660123840602,5.190512070953424,8,20
2025-05-13,515.5900268554688,3.0,0.8066419428860526,0.6439120456442016,3.262271458516297,11,20
2025-05-14,518.6799926757812,3.0,0.8023361262693556,0.24099637881760394,2.8880968381816308,11,20
2025-05-15,519.25,2.0,0.8038297134055796,-0.026964785447758377,1.4848381266550303,14,20
2025-05-16,521.510009765625,2.0,0.8070041375417263,0.32597882594722627,2.450570079654324,14,20
2025-05-19,522.010009765625,1.0,0.8333756722978236,1.0133863198751536,1.3543815620304045,17,20
2025-05-20,520.27001953125,1.0,0.7709623719195898,1.633767021143795,1.6760471247183384,17,20
2025-05-21,513.0399780273438,1.0,0.7005360321641618,2.2902698626292572,2.6879073080275706,17,20
2025-05-22,514.0,2.0,0.7041975132932972,3.097272939719109,3.433856889895437,14,20
2025-05-23,509.239990234375,1.0,0.6297062114587301,4.2141274024413145,5.99718004244798,17,20
2025-05-27,521.219970703125,1.0,0.680012782246513,2.492239745151692,3.825640528413987,17,20
2025-05-28,518.9099731445312,1.0,0.66682067534926,2.6016073497665992,5.262954842262624,17,20
2025-05-29,519.9299926757812,1.0,0.6733184940281336,2.6407363803133688,5.4161203578127814,17,20
2025-05-30,519.1099853515625,1.0,0.5969251274503738,1.5122106764672294,6.266500397761443,17,16
2025-06-02,523.2100219726562,1.0,0.6404065295942747,2.1176880391000186,4.54501390704658,17,20
2025-06-03,527.2999877929688,1.0,0.6372468206378775,0.33757431027552354,4.456666137687582,17,20
2025-06-04,528.77001953125,1.0,0.6017450607792548,0.04160044915557659,5.191283574702132,17,16
2025-06-05,524.7899780273438,1.0,0.5288578702853316,0.38873437906881136,5.190657674509169,17,12
2025-06-06,529.9199829101562,2.0,0.5257463473132309,0.3264722146172794,4.230835723949977,14,12
2025-06-09,530.7000122070312,2.0,0.5159902348895086,1.710950985676929,4.814393669733219,14,7
2025-06-10,534.2100219726562,2.0,0.5123238937707059,1.3009773096751776,3.9759625167537838,14,7
2025-06-11,532.4099731445312,2.0,0.5055967782138123,2.5938653021521763,4.092718048424837,14,7
2025-06-12,533.6599731445312,2.0,0.5803051577704292,2.7039790198073232,4.225546220986254,14,16
2025-06-13,526.9600219726562,2.0,0.503783933090696,4.683465850671653,5.647477510544996,14,7
2025-06-16,534.2899780273438,3.0,0.5746511202243911,2.3769886633324244,4.30477848095121,11,16
2025-06-17,529.0800170898438,3.0,0.5059960949141199,4.105233613356574,6.184314214530007,11,7
2025-06-18,528.989990234375,4.0,0.5044388269505626,5.147541725068461,6.100308158374124,8,7
2025-06-20,526.8300170898438,4.0,0.4261364161941372,4.78332885172974,7.087668623472654,8,3
2025-06-23,531.6500244140625,5.0,0.5078107804778288,3.8916583262097904,5.5675678033796805,5,7
2025-06-24,539.780029296875,5.0,0.509662910703173,3.0512375058741936,4.451807580399092,5,7
2025-06-25,541.1599731445312,5.0,0.5094567938585972,2.6406311944071836,4.407206335403524,5,7
2025-06-26,546.219970703125,5.0,0.5472135138052896,1.4609574771925482,3.6889944518367246,5,12
2025-06-27,548.0900268554688,5.0,0.6292617143997326,1.4815075479066797,3.658155925222828,5,20
2025-06-30,551.6400146484375,4.0,0.6350873585797703,0.9208824450352759,2.8315558520790374,8,20
2025-07-01,546.989990234375,4.0,0.5757762794371989,1.8830303985188923,3.8446826582446247,8,16
2025-07-02,550.7999877929688,4.0,0.5749049723591237,1.9970951786103974,2.579886078786986,8,16
2025-07-03,556.219970703125,4.0,0.6328879704956336,0.9061233555006654,-0.4206916015919049,8,20
2025-07-07,552.030029296875,4.0,0.5723829164008298,2.1991473233338388,2.186469949560288,8,16
2025-07-08,552.3400268554688,5.0,0.6083567370583932,1.613131895447939,1.4357049569044378,5,16
2025-07-09,556.25,5.0,0.606512982121408,1.3591006846910059,1.9901123595505776,5,16
2025-07-10,555.4500122070312,5.0,0.6502242775917901,1.7211265367711448,2.482669455380049,5,20
2025-07-11,554.2000122070312,5.0,0.6566708338257168,2.1959550057912836,3.671957297858497,5,20
2025-07-14,556.2100219726562,5.0,0.7356982331653742,2.1448719376667036,2.9916717372924007,5,20
2025-07-15,556.719970703125,4.0,0.6875804430171357,1.8932389023494478,4.190621950818407,8,20
2025-07-16,557.2899780273438,5.0,0.6927945283597154,1.9253964591087191,4.13609124180685,5,20
2025-07-17,561.7999877929688,5.0,0.6932296904044765,0.5713798997472042,3.2200093627801296,5,20
2025-07-18,561.260009765625,5.0,0.6230327022774456,-1.3149003380281465,2.864980571320208,5,20
2025-07-21,564.1699829101562,5.0,0.6136421740547314,-0.012404578810665257,2.2936379959627162,5,16
2025-07-22,561.25,5.0,0.5783371972937766,-0.1746102449888709,1.4307349665924285,5,16
2025-07-23,563.8099975585938,4.0,0.653590966639908,0.6225505855882885,0.37069268910738806,8,20
2025-07-24,565.010009765625,4.0,0.6558704767049811,0.7486575744259261,-0.30619099409276984,8,20
2025-07-25,566.3699951171875,3.0,0.658004085210067,1.4442864122983678,0.9887538060087131,11,20
2025-07-28,568.1400146484375,3.0,0.6920584422114823,0.82901841625731,0.38370565271863555,11,20
2025-07-29,567.260009765625,2.0,0.6645649334058578,2.2546962617123967,0.9431283965505521,14,20
2025-07-30,568.02001953125,2.0,0.6174594268295164,2.168934200403161,0.9629907891739453,14,16
2025-07-31,565.01,2.0,0.5553102227902145,2.633581706518462,2.1362453761880396,14,12
2025-08-01,553.88,3.0,0.5222583837979763,4.235574492669891,2.982595508052288,11,12
2025-08-04,564.1,4.0,0.5308126255655193,2.306328665130297,0.26945577025350165,8,12
