date,universe_n,nh_52w,nl_52w,advances,declines,qqq_close,qqq_52w_high,qqq_pct_from_high,qqq_50dma,qqq_above_50dma,qqq_fwd_4w,pct_above_50dma,nh_pct_52w,net_breadth_52w,ad_ratio,month
2025-04-03,243,3,80,19,223,450.6600036621094,539.52001953125,-0.1647019807464136,503.4806005859375,False,0.0846979598810258,0.1440329218106996,0.012345679012345678,-0.3168724279835391,0.07851239669421488,2025-04
2025-04-04,243,0,95,10,233,422.6700134277344,539.52001953125,-0.21658140916631446,501.28120056152346,False,0.14966753552026635,0.08641975308641975,0.0,-0.39094650205761317,0.0411522633744856,2025-04
2025-04-07,243,0,45,139,103,423.69000244140625,539.52001953125,-0.21469086020288938,499.1624005126953,False,0.13623168091790272,0.07818930041152264,0.0,-0.18518518518518517,0.5743801652892562,2025-04
2025-04-08,243,0,80,46,197,416.05999755859375,539.52001953125,-0.22883306921571095,497.19940002441405,False,0.1616112835382728,0.06172839506172839,0.0,-0.3292181069958848,0.18930041152263374,2025-04
2025-04-09,243,2,1,239,4,466.0,539.52001953125,-0.1362693076618848,496.0832000732422,False,0.04783263636249324,0.13168724279835392,0.00823045267489712,0.00411522633744856,0.9835390946502057,2025-04
2025-04-10,243,2,7,33,209,446.17999267578125,539.52001953125,-0.17300567815178602,494.59019958496094,False,0.09366177155166344,0.10699588477366255,0.00823045267489712,-0.0205761316872428,0.13636363636363635,2025-04
2025-04-11,243,1,3,193,47,454.3999938964844,539.52001953125,-0.1577699113162108,493.2171997070312,False,0.11762766928911428,0.14814814814814814,0.00411522633744856,-0.00823045267489712,0.8041666666666667,2025-04
2025-04-14,256,13,15,170,68,457.4800109863281,539.52001953125,-0.1520611016736701,491.92100036621093,False,0.12702197795233783,0.15625,0.05078125,-0.0078125,0.7142857142857143,2025-04
2025-04-15,256,11,7,131,124,457.989990234375,539.52001953125,-0.151115855474113,490.7186004638672,False,0.13251381850146626,0.203125,0.04296875,0.015625,0.5137254901960784,2025-04
2025-04-16,255,2,18,48,204,444.17999267578125,539.52001953125,-0.17671267683134875,489.1128009033203,False,0.16900807907170723,0.16470588235294117,0.00784313725490196,-0.06274509803921569,0.19047619047619047,2025-04
2025-04-17,256,4,8,150,101,444.1000061035156,539.52001953125,-0.17686093189023447,487.4578015136719,False,0.1743075942315251,0.171875,0.015625,-0.015625,0.5976095617529881,2025-04
2025-04-21,256,1,22,21,231,433.1099853515625,539.52001953125,-0.19723092809816306,485.5280017089844,False,0.20525969712266257,0.1328125,0.00390625,-0.08203125,0.08333333333333333,2025-04
2025-04-22,256,5,1,233,22,444.4800109863281,539.52001953125,-0.1761565930908278,483.95920227050783,False,0.1705138739011891,0.20703125,0.01953125,0.015625,0.9137254901960784,2025-04
2025-04-23,256,8,2,220,34,454.55999755859375,539.52001953125,-0.15747334463412846,482.4654022216797,False,0.12865184086334347,0.26171875,0.03125,0.0234375,0.8661417322834646,2025-04
2025-04-24,256,9,2,230,24,467.3500061035156,539.52001953125,-0.13376707224031778,481.2526025390625,False,0.09981810909862632,0.34375,0.03515625,0.02734375,0.905511811023622,2025-04
2025-04-25,256,6,2,165,85,472.55999755859375,539.52001953125,-0.12411035651806393,480.137802734375,False,0.07761975805248555,0.36328125,0.0234375,0.015625,0.66,2025-04
2025-04-28,256,5,1,138,113,472.4100036621094,539.52001953125,-0.12438837010616895,478.8680023193359,False,0.10332119697432751,0.39453125,0.01953125,0.015625,0.549800796812749,2025-04
2025-04-29,256,3,2,132,123,475.5299987792969,539.52001953125,-0.11860546121634084,477.6156018066406,False,0.09122447474731854,0.41796875,0.01171875,0.00390625,0.5176470588235295,2025-04
2025-04-30,256,2,4,108,145,475.4700012207031,539.52001953125,-0.11871666665158286,476.3376019287109,False,0.09350745860082288,0.41015625,0.0078125,-0.0078125,0.4268774703557312,2025-04
2025-05-01,256,5,2,169,85,481.67999267578125,539.52001953125,-0.10720645158954764,475.18080139160156,True,0.07770717747244138,0.48828125,0.01953125,0.01171875,0.6653543307086615,2025-05
2025-05-02,256,12,1,229,27,488.8299865722656,539.52001953125,-0.09395394262297307,474.2128015136719,True,0.07033127333588429,0.65625,0.046875,0.04296875,0.89453125,2025-05
2025-05-05,256,3,2,77,178,485.92999267578125,539.52001953125,-0.09932907939547685,473.4098010253906,True,0.08513571037132928,0.60546875,0.01171875,0.00390625,0.30196078431372547,2025-05
2025-05-06,256,7,5,96,153,481.4100036621094,539.52001953125,-0.10770687604813668,472.6406011962891,True,0.09837771444064458,0.5859375,0.02734375,0.0078125,0.3855421686746988,2025-05
2025-05-07,256,8,3,156,98,483.29998779296875,539.52001953125,-0.10420379170939158,472.0402008056641,True,0.08584728177594747,0.62890625,0.03125,0.01953125,0.6141732283464567,2025-05
2025-05-08,256,11,5,192,63,488.2900085449219,539.52001953125,-0.09495479154015116,471.5148010253906,True,0.08525665820869333,0.6953125,0.04296875,0.0234375,0.7529411764705882,2025-05
2025-05-09,256,13,4,139,113,487.9700012207031,539.52001953125,-0.09554792490431581,471.26880126953125,True,0.0875668809136525,0.703125,0.05078125,0.03515625,0.5515873015873016,2025-05
2025-05-12,256,16,2,212,41,507.8500061035156,539.52001953125,-0.05870034897917257,471.26240112304686,True,0.051905120709534236,0.78125,0.0625,0.0546875,0.8379446640316206,2025-05
2025-05-13,256,18,2,172,83,515.5900268554688,539.52001953125,-0.0443542256255334,471.63320190429687,True,0.03262271458516297,0.78515625,0.0703125,0.0625,0.6745098039215687,2025-05
2025-05-14,256,12,1,109,144,518.6799926757812,539.52001953125,-0.038626976017637205,472.09580200195313,True,0.028880968381816308,0.76953125,0.046875,0.04296875,0.4308300395256917,2025-05
2025-05-15,256,14,2,118,134,519.25,539.52001953125,-0.03757046781852721,472.44060180664064,True,0.014848381266550303,0.79296875,0.0546875,0.046875,0.46825396825396826,2025-05
2025-05-16,1145,906,891,160,94,521.510009765625,539.52001953125,-0.03338154121004184,473.1068017578125,True,0.02450570079654324,0.1781659388646288,0.7912663755458516,0.013100436681222707,0.6299212598425197,2025-05
