
==========================================================
  Fast OHLCV Pre-fetch (Polygon-parallel)  [2026-05-18]
==========================================================
  Universe: 5021 tickers | workers=8 | timeout=8s
  [3256/5021] ok=140 fail=2822 skip=294 | 32/min | ETA 3344s
  [3271/5021] ok=141 fail=2836 skip=294 | 32/min | ETA 3316s
  [3287/5021] ok=141 fail=2852 skip=294 | 32/min | ETA 3286s
  [3304/5021] ok=142 fail=2868 skip=294 | 32/min | ETA 3252s
  [3320/5021] ok=142 fail=2884 skip=294 | 32/min | ETA 3222s
  [3336/5021] ok=142 fail=2900 skip=294 | 32/min | ETA 3191s
  [3350/5021] ok=142 fail=2914 skip=294 | 32/min | ETA 3167s
  [3367/5021] ok=143 fail=2930 skip=294 | 32/min | ETA 3133s
  [3381/5021] ok=143 fail=2944 skip=294 | 32/min | ETA 3109s
  [3397/5021] ok=145 fail=2958 skip=294 | 32/min | ETA 3078s
  [3413/5021] ok=145 fail=2974 skip=294 | 32/min | ETA 3048s
  [3429/5021] ok=147 fail=2988 skip=294 | 32/min | ETA 3017s
  [3445/5021] ok=147 fail=3004 skip=294 | 32/min | ETA 2987s
  [3461/5021] ok=148 fail=3019 skip=294 | 32/min | ETA 2956s
  [3475/5021] ok=148 fail=3033 skip=294 | 32/min | ETA 2931s
  [3493/5021] ok=150 fail=3049 skip=294 | 32/min | ETA 2895s
  [3509/5021] ok=150 fail=3065 skip=294 | 32/min | ETA 2865s
  [3524/5021] ok=151 fail=3079 skip=294 | 32/min | ETA 2837s
  [3540/5021] ok=151 fail=3095 skip=294 | 32/min | ETA 2807s
  [3557/5021] ok=152 fail=3111 skip=294 | 32/min | ETA 2773s
  [3573/5021] ok=152 fail=3127 skip=294 | 32/min | ETA 2743s
  [3589/5021] ok=152 fail=3143 skip=294 | 32/min | ETA 2713s
  [3604/5021] ok=152 fail=3158 skip=294 | 32/min | ETA 2685s
  [3619/5021] ok=153 fail=3172 skip=294 | 32/min | ETA 2657s
  [3635/5021] ok=153 fail=3188 skip=294 | 32/min | ETA 2627s
  [3651/5021] ok=155 fail=3202 skip=294 | 32/min | ETA 2596s
  [3666/5021] ok=155 fail=3217 skip=294 | 32/min | ETA 2568s
  [3684/5021] ok=156 fail=3234 skip=294 | 32/min | ETA 2533s
  [3700/5021] ok=156 fail=3250 skip=294 | 32/min | ETA 2502s
  [3716/5021] ok=156 fail=3266 skip=294 | 32/min | ETA 2472s
  [3731/5021] ok=156 fail=3281 skip=294 | 32/min | ETA 2444s
  [3747/5021] ok=157 fail=3296 skip=294 | 32/min | ETA 2414s
  [3763/5021] ok=157 fail=3312 skip=294 | 32/min | ETA 2383s
  [3778/5021] ok=158 fail=3326 skip=294 | 32/min | ETA 2355s
  [3794/5021] ok=158 fail=3342 skip=294 | 32/min | ETA 2325s
  [3810/5021] ok=158 fail=3358 skip=294 | 32/min | ETA 2294s
  [3826/5021] ok=158 fail=3374 skip=294 | 32/min | ETA 2264s
  [3842/5021] ok=158 fail=3390 skip=294 | 32/min | ETA 2234s
